;City;Latitude;Longitude;Prain;Vrain;Temp
0;Mont Saint Michel;48.6359541;-1.511459954959514;0.0;0.0;18.03
1;St Malo;48.649518;-2.0260409;0.0;0.0;17.24
2;Bayeux;49.2764624;-0.7024738;0.0;0.0;18.97
3;Le Havre;49.4938975;0.1079732;0.0;0.0;16.98
4;Rouen;49.4404591;1.0939658;0.0;0.0;18.82
5;Paris;48.8588897;2.3200410217200766;0.06;0.0;20.18
6;Amiens;49.8941708;2.2956951;0.0;0.0;18.41
7;Lille;50.6365654;3.0635282;0.33;0.0;18.78
8;Strasbourg;48.584614;7.7507127;0.33;0.33;22.47
9;Chateau du Haut Koenigsbourg;48.2495226;7.3454923;0.3;0.6;19.94
10;Colmar;48.0777517;7.3579641;0.22;0.58;24.51
11;Eguisheim;48.0447968;7.3079618;0.21;0.67;24.42
12;Besancon;47.2380222;6.0243622;0.31;0.23;23.21
13;Dijon;47.3215806;5.0414701;0.71;0.76;23.02
14;Annecy;45.8992348;6.1288847;0.0;0.0;25.45
15;Grenoble;45.1875602;5.7357819;0.0;0.0;28.74
16;Lyon;45.7578137;4.8320114;0.0;0.0;26.45
17;Gorges du Verdon;43.7496562;6.3285616;0.0;0.0;24.2
18;Bormes les Mimosas;43.1506968;6.3419285;0.0;0.0;25.02
19;Cassis;43.2140359;5.5396318;0.0;0.0;23.79
20;Marseille;43.2961743;5.3699525;0.0;0.0;23.68
21;Aix en Provence;43.5298424;5.4474738;0.0;0.0;26.15
22;Avignon;43.9492493;4.8059012;0.0;0.0;28.26
23;Uzes;44.0121279;4.4196718;0.0;0.0;26.95
24;Nimes;43.8374249;4.3600687;0.0;0.0;27.25
25;Aigues Mortes;43.5661521;4.19154;0.0;0.0;23.65
26;Saintes Maries de la mer;43.4515922;4.4277202;0.0;0.0;22.57
27;Collioure;42.52505;3.0831554;0.0;0.0;24.98
28;Carcassonne;43.2130358;2.3491069;0.0;0.0;25.71
29;Ariege;42.9927428;1.6124975;0.0;0.0;25.05
30;Toulouse;43.6044622;1.4442469;0.0;0.0;24.93
31;Montauban;44.0175835;1.3549991;0.0;0.0;25.57
32;Biarritz;43.4832523;-1.5592776;0.24;0.53;20.39
33;Bayonne;43.4945144;-1.4736657;0.24;0.54;20.64
34;La Rochelle;46.1591126;-1.1520434;0.05;0.0;19.37
